date,store,item,sales
2018-01-01,1,1,
2018-01-02,1,1,
2018-01-03,1,1,
2018-01-04,1,1,
2018-01-05,1,1,
2018-01-06,1,1,
2018-01-07,1,1,
2018-01-08,1,1,
2018-01-09,1,1,
2018-01-10,1,1,
2018-01-11,1,1,
2018-01-12,1,1,
2018-01-13,1,1,
2018-01-14,1,1,
2018-01-15,1,1,
2018-01-16,1,1,
2018-01-17,1,1,
2018-01-18,1,1,
2018-01-19,1,1,
2018-01-20,1,1,
2018-01-21,1,1,
2018-01-22,1,1,
2018-01-23,1,1,
2018-01-24,1,1,
2018-01-25,1,1,
2018-01-26,1,1,
2018-01-27,1,1,
2018-01-28,1,1,
2018-01-29,1,1,
2018-01-30,1,1,
2018-01-31,1,1,
2018-02-01,1,1,
2018-02-02,1,1,
2018-02-03,1,1,
2018-02-04,1,1,
2018-02-05,1,1,
2018-02-06,1,1,
2018-02-07,1,1,
2018-02-08,1,1,
2018-02-09,1,1,
2018-02-10,1,1,
2018-02-11,1,1,
2018-02-12,1,1,
2018-02-13,1,1,
2018-02-14,1,1,
2018-02-15,1,1,
2018-02-16,1,1,
2018-02-17,1,1,
2018-02-18,1,1,
2018-02-19,1,1,
2018-02-20,1,1,
2018-02-21,1,1,926765.0
2018-02-22,1,1,1040389.0
2018-02-23,1,1,1063638.0
2018-02-24,1,1,1177022.0
2018-02-25,1,1,1043455.0
2018-02-26,1,1,930807.0
2018-02-27,1,1,907953.0
2018-02-28,1,1,939343.0
2018-03-01,1,1,713275.0
2018-03-02,1,1,637122.0
2018-03-03,1,1,687289.0
2018-03-04,1,1,878670.0
2018-03-05,1,1,
2018-03-06,1,1,
2018-03-07,1,1,
2018-03-08,1,1,
2018-03-09,1,1,
2018-03-10,1,1,
2018-03-11,1,1,
2018-03-12,1,1,
2018-03-13,1,1,
2018-03-14,1,1,
2018-03-15,1,1,
2018-03-16,1,1,
2018-03-17,1,1,
2018-03-18,1,1,
2018-03-19,1,1,
2018-03-20,1,1,
2018-03-21,1,1,
2018-03-22,1,1,
2018-03-23,1,1,
2018-03-24,1,1,
2018-03-25,1,1,
2018-03-26,1,1,
2018-03-27,1,1,
2018-03-28,1,1,
2018-03-29,1,1,
2018-03-30,1,1,
2018-03-31,1,1,
2018-01-01,2,1,
2018-01-02,2,1,
2018-01-03,2,1,
2018-01-04,2,1,
2018-01-05,2,1,
2018-01-06,2,1,
2018-01-07,2,1,
2018-01-08,2,1,
2018-01-09,2,1,
2018-01-10,2,1,
2018-01-11,2,1,
2018-01-12,2,1,
2018-01-13,2,1,
2018-01-14,2,1,
2018-01-15,2,1,
2018-01-16,2,1,
2018-01-17,2,1,
2018-01-18,2,1,
2018-01-19,2,1,
2018-01-20,2,1,
2018-01-21,2,1,
2018-01-22,2,1,
2018-01-23,2,1,
2018-01-24,2,1,
2018-01-25,2,1,
2018-01-26,2,1,
2018-01-27,2,1,
2018-01-28,2,1,
2018-01-29,2,1,
2018-01-30,2,1,
2018-01-31,2,1,
2018-02-01,2,1,
2018-02-02,2,1,
2018-02-03,2,1,
2018-02-04,2,1,
2018-02-05,2,1,
2018-02-06,2,1,
2018-02-07,2,1,
2018-02-08,2,1,
2018-02-09,2,1,
2018-02-10,2,1,
2018-02-11,2,1,
2018-02-12,2,1,
2018-02-13,2,1,
2018-02-14,2,1,
2018-02-15,2,1,
2018-02-16,2,1,
2018-02-17,2,1,
2018-02-18,2,1,
2018-02-19,2,1,
2018-02-20,2,1,
2018-02-21,2,1,
2018-02-22,2,1,
2018-02-23,2,1,
2018-02-24,2,1,
2018-02-25,2,1,
2018-02-26,2,1,
2018-02-27,2,1,
2018-02-28,2,1,
2018-03-01,2,1,
2018-03-02,2,1,
2018-03-03,2,1,
2018-03-04,2,1,
2018-03-05,2,1,
2018-03-06,2,1,
2018-03-07,2,1,
2018-03-08,2,1,
2018-03-09,2,1,
2018-03-10,2,1,
2018-03-11,2,1,
2018-03-12,2,1,
2018-03-13,2,1,
2018-03-14,2,1,
2018-03-15,2,1,
2018-03-16,2,1,
2018-03-17,2,1,
2018-03-18,2,1,
2018-03-19,2,1,
2018-03-20,2,1,
2018-03-21,2,1,
2018-03-22,2,1,
2018-03-23,2,1,
2018-03-24,2,1,
2018-03-25,2,1,
2018-03-26,2,1,
2018-03-27,2,1,
2018-03-28,2,1,
2018-03-29,2,1,
2018-03-30,2,1,
2018-03-31,2,1,
2018-01-01,3,1,
2018-01-02,3,1,
2018-01-03,3,1,
2018-01-04,3,1,
2018-01-05,3,1,
2018-01-06,3,1,
2018-01-07,3,1,
2018-01-08,3,1,
2018-01-09,3,1,
2018-01-10,3,1,
2018-01-11,3,1,
2018-01-12,3,1,
2018-01-13,3,1,
2018-01-14,3,1,
2018-01-15,3,1,
2018-01-16,3,1,
2018-01-17,3,1,
2018-01-18,3,1,
2018-01-19,3,1,
2018-01-20,3,1,
2018-01-21,3,1,
2018-01-22,3,1,
2018-01-23,3,1,
2018-01-24,3,1,
2018-01-25,3,1,
2018-01-26,3,1,
2018-01-27,3,1,
2018-01-28,3,1,
2018-01-29,3,1,
2018-01-30,3,1,
2018-01-31,3,1,
2018-02-01,3,1,
2018-02-02,3,1,
2018-02-03,3,1,
2018-02-04,3,1,
2018-02-05,3,1,
2018-02-06,3,1,
2018-02-07,3,1,
2018-02-08,3,1,
2018-02-09,3,1,
2018-02-10,3,1,
2018-02-11,3,1,
2018-02-12,3,1,
2018-02-13,3,1,
2018-02-14,3,1,
2018-02-15,3,1,
2018-02-16,3,1,
2018-02-17,3,1,
2018-02-18,3,1,
2018-02-19,3,1,
2018-02-20,3,1,
2018-02-21,3,1,
2018-02-22,3,1,
2018-02-23,3,1,
2018-02-24,3,1,
2018-02-25,3,1,
2018-02-26,3,1,
2018-02-27,3,1,
2018-02-28,3,1,
2018-03-01,3,1,
2018-03-02,3,1,
2018-03-03,3,1,
2018-03-04,3,1,
2018-03-05,3,1,
2018-03-06,3,1,
2018-03-07,3,1,
2018-03-08,3,1,
2018-03-09,3,1,
2018-03-10,3,1,
2018-03-11,3,1,
2018-03-12,3,1,
2018-03-13,3,1,
2018-03-14,3,1,
2018-03-15,3,1,
2018-03-16,3,1,
2018-03-17,3,1,
2018-03-18,3,1,
2018-03-19,3,1,
2018-03-20,3,1,
2018-03-21,3,1,
2018-03-22,3,1,
2018-03-23,3,1,
2018-03-24,3,1,
2018-03-25,3,1,
2018-03-26,3,1,
2018-03-27,3,1,
2018-03-28,3,1,
2018-03-29,3,1,
2018-03-30,3,1,
2018-03-31,3,1,
2018-01-01,4,1,
2018-01-02,4,1,
2018-01-03,4,1,
2018-01-04,4,1,
2018-01-05,4,1,
2018-01-06,4,1,
2018-01-07,4,1,
2018-01-08,4,1,
2018-01-09,4,1,
2018-01-10,4,1,
2018-01-11,4,1,
2018-01-12,4,1,
2018-01-13,4,1,
2018-01-14,4,1,
2018-01-15,4,1,
2018-01-16,4,1,
2018-01-17,4,1,
2018-01-18,4,1,
2018-01-19,4,1,
2018-01-20,4,1,
2018-01-21,4,1,
2018-01-22,4,1,
2018-01-23,4,1,
2018-01-24,4,1,
2018-01-25,4,1,
2018-01-26,4,1,
2018-01-27,4,1,
2018-01-28,4,1,
2018-01-29,4,1,
2018-01-30,4,1,
2018-01-31,4,1,
2018-02-01,4,1,
2018-02-02,4,1,
2018-02-03,4,1,
2018-02-04,4,1,
2018-02-05,4,1,
2018-02-06,4,1,
2018-02-07,4,1,
2018-02-08,4,1,
2018-02-09,4,1,
2018-02-10,4,1,
2018-02-11,4,1,
2018-02-12,4,1,
2018-02-13,4,1,
2018-02-14,4,1,
2018-02-15,4,1,
2018-02-16,4,1,
2018-02-17,4,1,
2018-02-18,4,1,
2018-02-19,4,1,
2018-02-20,4,1,
2018-02-21,4,1,
2018-02-22,4,1,
2018-02-23,4,1,
2018-02-24,4,1,
2018-02-25,4,1,
2018-02-26,4,1,
2018-02-27,4,1,
2018-02-28,4,1,
2018-03-01,4,1,
2018-03-02,4,1,
2018-03-03,4,1,
2018-03-04,4,1,
2018-03-05,4,1,
2018-03-06,4,1,
2018-03-07,4,1,
2018-03-08,4,1,
2018-03-09,4,1,
2018-03-10,4,1,
2018-03-11,4,1,
2018-03-12,4,1,
2018-03-13,4,1,
2018-03-14,4,1,
2018-03-15,4,1,
2018-03-16,4,1,
2018-03-17,4,1,
2018-03-18,4,1,
2018-03-19,4,1,
2018-03-20,4,1,
2018-03-21,4,1,
2018-03-22,4,1,
2018-03-23,4,1,
2018-03-24,4,1,
2018-03-25,4,1,
2018-03-26,4,1,
2018-03-27,4,1,
2018-03-28,4,1,
2018-03-29,4,1,
2018-03-30,4,1,
2018-03-31,4,1,
2018-01-01,5,1,
2018-01-02,5,1,
2018-01-03,5,1,
2018-01-04,5,1,
2018-01-05,5,1,
2018-01-06,5,1,
2018-01-07,5,1,
2018-01-08,5,1,
2018-01-09,5,1,
2018-01-10,5,1,
2018-01-11,5,1,
2018-01-12,5,1,
2018-01-13,5,1,
2018-01-14,5,1,
2018-01-15,5,1,
2018-01-16,5,1,
2018-01-17,5,1,
2018-01-18,5,1,
2018-01-19,5,1,
2018-01-20,5,1,
2018-01-21,5,1,
2018-01-22,5,1,
2018-01-23,5,1,
2018-01-24,5,1,
2018-01-25,5,1,
2018-01-26,5,1,
2018-01-27,5,1,
2018-01-28,5,1,
